Tiempo (s),Fotograma,Posicion X (px),Posicion Y (px),Velocidad X (m/s),Velocidad Y (m/s),Rapidez (m/s)
0.0338,1,461,153,0.5473,-1.2721,1.3849
0.0676,2,386,94,-1.1094,-0.8727,1.4115
0.1014,3,454,154,1.0059,0.8875,1.3414
0.1352,4,455,153,0.0148,-0.0148,0.0209
0.1690,5,450,154,-0.0740,0.0148,0.0754
0.2028,6,462,154,0.1775,0.0000,0.1775
0.2366,7,454,140,-0.1183,-0.2071,0.2385
0.2704,8,476,153,0.3254,0.1923,0.3780
0.3042,9,462,165,-0.2071,0.1775,0.2728
0.3380,10,499,91,0.5473,-1.0946,1.2238
0.3718,11,466,186,-0.4881,1.4053,1.4876
0.4056,12,428,178,-0.5621,-0.1183,0.5744
0.4394,13,423,176,-0.0740,-0.0296,0.0797
0.4732,14,469,111,0.6804,-0.9615,1.1779
0.5070,15,421,159,-0.7100,0.7100,1.0041
0.5408,16,438,170,0.2515,0.1627,0.2995
0.5746,17,384,101,-0.7988,-1.0207,1.2961
0.6084,18,466,151,1.2130,0.7396,1.4207
0.6422,19,433,83,-0.4881,-1.0059,1.1181
0.6760,20,365,202,-1.0059,1.7603,2.0274
0.7098,21,473,166,1.5975,-0.5325,1.6840
0.7436,22,485,106,0.1775,-0.8875,0.9051
0.7774,23,476,168,-0.1331,0.9171,0.9267
0.8112,24,497,96,0.3106,-1.0650,1.1094
0.8450,25,362,204,-1.9969,1.5975,2.5573
0.8788,26,474,182,1.6567,-0.3254,1.6884
0.9126,27,348,192,-1.8638,0.1479,1.8697
0.9465,28,478,185,1.9230,-0.1035,1.9258
0.9803,29,422,178,-0.8284,-0.1035,0.8348
1.0141,30,418,174,-0.0592,-0.0592,0.0837
1.0479,31,431,151,0.1923,-0.3402,0.3908
1.0817,32,441,168,0.1479,0.2515,0.2917
1.1155,33,408,86,-0.4881,-1.2130,1.3075
1.1493,34,455,166,0.6952,1.1834,1.3725
1.1831,35,467,91,0.1775,-1.1094,1.1235
1.2169,36,478,151,0.1627,0.8875,0.9023
1.2507,37,451,168,-0.3994,0.2515,0.4720
1.2845,38,435,184,-0.2367,0.2367,0.3347
1.3183,39,420,182,-0.2219,-0.0296,0.2238
1.3521,40,421,178,0.0148,-0.0592,0.0610
1.3859,41,421,159,0.0000,-0.2811,0.2811
1.4197,42,439,171,0.2663,0.1775,0.3200
1.4535,43,395,91,-0.6509,-1.1834,1.3505
1.4873,44,462,146,0.9911,0.8136,1.2822
1.5211,45,461,155,-0.0148,0.1331,0.1339
1.5549,46,463,169,0.0296,0.2071,0.2092
1.5887,47,500,95,0.5473,-1.0946,1.2238
1.6225,48,441,180,-0.8727,1.2573,1.5305
1.6563,49,428,178,-0.1923,-0.0296,0.1946
1.6901,50,423,177,-0.0740,-0.0148,0.0754
1.7239,51,421,165,-0.0296,-0.1775,0.1800
1.7577,52,437,173,0.2367,0.1183,0.2646
1.7915,53,382,100,-0.8136,-1.0798,1.3520
1.8253,54,156,436,-3.3430,4.9701,5.9898
1.8591,55,763,424,8.9788,-0.1775,8.9806
1.8929,56,619,406,-2.1301,-0.2663,2.1466
1.9267,57,115,345,-7.4552,-0.9023,7.5096
1.9605,58,126,167,0.1627,-2.6330,2.6380
1.9943,59,186,165,0.8875,-0.0296,0.8880
2.0281,60,687,169,7.4108,0.0592,7.4111
2.0619,61,466,168,-3.2691,-0.0148,3.2691
2.0957,62,155,122,-4.6003,-0.6804,4.6504
2.1295,63,424,82,3.9791,-0.5917,4.0228
2.1633,64,803,423,5.6062,5.0441,7.5414
2.1971,65,747,420,-0.8284,-0.0444,0.8295
2.2309,66,627,381,-1.7751,-0.5769,1.8664
2.2647,67,121,343,-7.4848,-0.5621,7.5059
2.2985,68,126,167,0.0740,-2.6034,2.6045
2.3323,69,691,189,8.3575,0.3254,8.3639
2.3661,70,240,212,-6.6712,0.3402,6.6799
2.3999,71,476,164,3.4909,-0.7100,3.5624
2.4337,72,122,148,-5.2364,-0.2367,5.2418
2.4675,73,488,111,5.4139,-0.5473,5.4415
2.5013,74,610,426,1.8046,4.6595,4.9968
2.5351,75,748,420,2.0413,-0.0888,2.0432
2.5689,76,663,368,-1.2573,-0.7692,1.4740
2.6027,77,599,391,-0.9467,0.3402,1.0060
2.6365,78,115,343,-7.1594,-0.7100,7.1945
2.6703,79,126,167,0.1627,-2.6034,2.6085
2.7041,80,691,189,8.3575,0.3254,8.3639
2.7379,81,240,212,-6.6712,0.3402,6.6799
2.7717,82,481,173,3.5649,-0.5769,3.6113
2.8056,83,147,154,-4.9406,-0.2811,4.9486
2.8394,84,59,146,-1.3017,-0.1183,1.3071
2.8732,85,495,95,6.4494,-0.7544,6.4933
2.9070,86,182,381,-4.6299,4.2305,6.2717
2.9408,87,206,306,0.3550,-1.1094,1.1648
2.9746,88,67,324,-2.0561,0.2663,2.0733
3.0084,89,159,283,1.3609,-0.6065,1.4899
3.0422,90,480,183,4.7483,-1.4792,4.9733
3.0760,91,691,175,3.1211,-0.1183,3.1234
3.1098,92,146,154,-8.0617,-0.3106,8.0677
